,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
111,22100056,1610612738,Celtics,BOS,Boston,240:00,37.0,85.0,0.435,10.0,29.0,0.345,23.0,28.0,0.821,10.0,27.0,37.0,18.0,9.0,5.0,13.0,21.0,107.0,-9.0
112,22100057,1610612748,Heat,MIA,Miami,240:00,38.0,96.0,0.396,8.0,29.0,0.276,22.0,26.0,0.846,17.0,45.0,62.0,21.0,6.0,2.0,14.0,19.0,106.0,13.0
113,22100057,1610612751,Nets,BKN,Brooklyn,240:00,33.0,85.0,0.38799999999999996,14.0,43.0,0.326,13.0,14.0,0.929,4.0,38.0,42.0,21.0,7.0,7.0,15.0,24.0,93.0,-13.0
114,22100058,1610612761,Raptors,TOR,Toronto,240:00,46.0,100.0,0.46,14.0,30.0,0.467,12.0,19.0,0.632,16.0,25.0,41.0,22.0,18.0,6.0,10.0,20.0,118.0,18.0
115,22100058,1610612754,Pacers,IND,Indiana,240:00,38.0,79.0,0.48100000000000004,10.0,29.0,0.345,14.0,17.0,0.8240000000000001,9.0,31.0,40.0,19.0,6.0,7.0,22.0,19.0,100.0,-18.0
116,22100059,1610612740,Pelicans,NOP,New Orleans,240:00,40.0,93.0,0.43,11.0,36.0,0.306,8.0,9.0,0.889,9.0,35.0,44.0,24.0,5.0,6.0,9.0,19.0,99.0,-3.0
117,22100059,1610612737,Hawks,ATL,Atlanta,240:00,40.0,96.0,0.41700000000000004,8.0,30.0,0.267,14.0,17.0,0.8240000000000001,21.0,34.0,55.0,21.0,4.0,4.0,11.0,14.0,102.0,3.0
118,22100060,1610612750,Timberwolves,MIN,Minnesota,240:00,43.0,91.0,0.473,13.0,45.0,0.289,14.0,17.0,0.8240000000000001,10.0,39.0,49.0,29.0,5.0,4.0,17.0,20.0,113.0,5.0
119,22100060,1610612749,Bucks,MIL,Milwaukee,240:00,39.0,95.0,0.41100000000000003,14.0,51.0,0.275,16.0,21.0,0.762,13.0,30.0,43.0,22.0,10.0,3.0,8.0,18.0,108.0,-5.0
120,22100061,1610612760,Thunder,OKC,Oklahoma City,240:00,43.0,86.0,0.5,15.0,37.0,0.405,22.0,29.0,0.759,10.0,32.0,42.0,21.0,8.0,3.0,15.0,16.0,123.0,8.0
121,22100061,1610612747,Lakers,LAL,Los Angeles,240:00,46.0,92.0,0.5,11.0,35.0,0.314,12.0,14.0,0.857,10.0,30.0,40.0,29.0,8.0,2.0,17.0,22.0,115.0,-8.0
122,22100062,1610612758,Kings,SAC,Sacramento,240:00,42.0,95.0,0.442,15.0,38.0,0.395,11.0,15.0,0.733,8.0,32.0,40.0,28.0,7.0,6.0,11.0,20.0,110.0,3.0
123,22100062,1610612756,Suns,PHX,Phoenix,240:00,42.0,93.0,0.452,6.0,22.0,0.273,17.0,24.0,0.708,14.0,42.0,56.0,23.0,6.0,6.0,11.0,16.0,107.0,-3.0
124,22100063,1610612757,Trail Blazers,POR,Portland,240:00,39.0,84.0,0.46399999999999997,15.0,36.0,0.41700000000000004,23.0,31.0,0.742,13.0,35.0,48.0,22.0,11.0,6.0,13.0,20.0,116.0,20.0
125,22100063,1610612763,Grizzlies,MEM,Memphis,240:00,35.0,96.0,0.365,17.0,50.0,0.34,9.0,19.0,0.474,21.0,29.0,50.0,27.0,9.0,3.0,21.0,25.0,96.0,-20.0
126,22100064,1610612746,Clippers,LAC,LA,240:00,31.0,87.0,0.35600000000000004,9.0,41.0,0.22,8.0,13.0,0.615,9.0,27.0,36.0,19.0,13.0,2.0,14.0,24.0,79.0,-13.0
